11/04/2024 11:51:20 AM : root         : INFO     :  ******** Users_Module (Order - 4) Begin ********
11/04/2024 11:51:20 AM : root         : INFO     : Users module = test_TC_US_110 execution started..
11/04/2024 11:51:27 AM : root         : INFO     : current url: https://scecore7-vm.qa.facefirst.dev/
11/04/2024 11:51:27 AM : root         : INFO     : url is not open
11/04/2024 11:51:28 AM : root         : INFO     : opening localhost portal login
11/04/2024 11:51:28 AM : root         : INFO     : logging in to core
11/04/2024 11:51:28 AM : root         : INFO     : entered explicit wait for 10
11/04/2024 11:51:28 AM : root         : INFO     : exiting explicit wait..
11/04/2024 11:51:30 AM : root         : INFO     : entered explicit wait for 10
11/04/2024 11:51:31 AM : root         : INFO     : exiting explicit wait..
11/04/2024 11:51:33 AM : root         : INFO     : login success..
11/04/2024 11:51:36 AM : root         : INFO     : entered explicit wait for 8
11/04/2024 11:51:36 AM : root         : INFO     : exiting explicit wait..
11/04/2024 11:51:36 AM : root         : INFO     : click on users on the cloud menu
11/04/2024 11:51:37 AM : root         : INFO     : entered explicit wait for 5
11/04/2024 11:51:37 AM : root         : INFO     : exiting explicit wait..
11/04/2024 11:51:37 AM : root         : INFO     : click on action dropdown
11/04/2024 11:51:38 AM : root         : INFO     : entered explicit wait for 10
11/04/2024 11:51:38 AM : root         : INFO     : exiting explicit wait..
11/04/2024 11:51:38 AM : root         : INFO     : click on create user option
11/04/2024 11:51:39 AM : root         : INFO     : entered explicit wait for 10
11/04/2024 11:51:39 AM : root         : INFO     : exiting explicit wait..
11/04/2024 11:51:39 AM : root         : INFO     : Enter Username : operator21
11/04/2024 11:51:39 AM : root         : INFO     : entered explicit wait for 10
11/04/2024 11:51:39 AM : root         : INFO     : exiting explicit wait..
11/04/2024 11:51:39 AM : root         : INFO     : Enter first name : standard
11/04/2024 11:51:40 AM : root         : INFO     : Enter Last name : operator
11/04/2024 11:51:40 AM : root         : INFO     : Select user role : 3. OPERATOR
11/04/2024 11:51:40 AM : root         : INFO     : Enter new password : Right_1r1s
11/04/2024 11:51:40 AM : root         : INFO     : Enter confirm password : Right_1r1s
