12/04/2024 05:57:54 AM : root         : INFO     :  ******** Users_Module (Order - 4) Begin ********
12/04/2024 05:57:54 AM : root         : INFO     : Users module = test_TC_US_110 execution started..
12/04/2024 05:58:01 AM : root         : INFO     : current url: https://scecore7-vm.qa.facefirst.dev/
12/04/2024 05:58:01 AM : root         : INFO     : url is not open
12/04/2024 05:58:01 AM : root         : INFO     : opening localhost portal login
12/04/2024 05:58:01 AM : root         : INFO     : logging in to core
12/04/2024 05:58:01 AM : root         : INFO     : entered explicit wait for 10
12/04/2024 05:58:01 AM : root         : INFO     : exiting explicit wait..
12/04/2024 05:58:04 AM : root         : INFO     : entered explicit wait for 10
12/04/2024 05:58:04 AM : root         : INFO     : exiting explicit wait..
12/04/2024 05:58:06 AM : root         : INFO     : login success..
12/04/2024 05:58:09 AM : root         : INFO     : entered explicit wait for 8
12/04/2024 05:58:09 AM : root         : INFO     : exiting explicit wait..
12/04/2024 05:58:09 AM : root         : INFO     : click on users on the cloud menu
12/04/2024 05:58:10 AM : root         : INFO     : entered explicit wait for 5
12/04/2024 05:58:10 AM : root         : INFO     : exiting explicit wait..
12/04/2024 05:58:10 AM : root         : INFO     : click on action dropdown
12/04/2024 05:58:11 AM : root         : INFO     : entered explicit wait for 10
12/04/2024 05:58:11 AM : root         : INFO     : exiting explicit wait..
12/04/2024 05:58:12 AM : root         : INFO     : click on create user option
12/04/2024 05:58:13 AM : root         : INFO     : entered explicit wait for 10
12/04/2024 05:58:13 AM : root         : INFO     : exiting explicit wait..
12/04/2024 05:58:13 AM : root         : INFO     : Enter Username : operator25
12/04/2024 05:58:13 AM : root         : INFO     : entered explicit wait for 10
12/04/2024 05:58:13 AM : root         : INFO     : exiting explicit wait..
12/04/2024 05:58:13 AM : root         : INFO     : Enter first name : standard
12/04/2024 05:58:13 AM : root         : INFO     : Enter Last name : operator
12/04/2024 05:58:13 AM : root         : INFO     : Select user role : 3. OPERATOR
12/04/2024 05:58:13 AM : root         : INFO     : Enter new password : Right_1r1s
12/04/2024 05:58:14 AM : root         : INFO     : Enter confirm password : Right_1r1s
12/04/2024 05:58:14 AM : root         : INFO     : entered explicit wait for 10
12/04/2024 05:58:14 AM : root         : INFO     : exiting explicit wait..
12/04/2024 05:58:16 AM : root         : INFO     : Kroger International - KCORP
12/04/2024 05:58:16 AM : root         : INFO     : sceedge13
12/04/2024 05:58:16 AM : root         : INFO     : Kroger Mexico - KMX
12/04/2024 05:58:16 AM : root         : INFO     : sceedge13
12/04/2024 05:58:16 AM : root         : INFO     : Kroger MX East - MXEAST
12/04/2024 05:58:16 AM : root         : INFO     : sceedge13
12/04/2024 05:58:16 AM : root         : INFO     : Kroger MX North - MXNORTH
12/04/2024 05:58:16 AM : root         : INFO     : sceedge13
12/04/2024 05:58:16 AM : root         : INFO     : Kroger MX South - MXSOUTH
12/04/2024 05:58:16 AM : root         : INFO     : sceedge13
12/04/2024 05:58:16 AM : root         : INFO     : Kroger MX West - MXWEST
12/04/2024 05:58:16 AM : root         : INFO     : sceedge13
12/04/2024 05:58:16 AM : root         : INFO     : Kroger USA - KUSA
12/04/2024 05:58:16 AM : root         : INFO     : sceedge13
12/04/2024 05:58:16 AM : root         : INFO     : Kroger US East - USEAST
12/04/2024 05:58:16 AM : root         : INFO     : sceedge13
12/04/2024 05:58:16 AM : root         : INFO     : Kroger NJ - KNJ
12/04/2024 05:58:16 AM : root         : INFO     : sceedge13
12/04/2024 05:58:16 AM : root         : INFO     : Kroger NY - KNY
12/04/2024 05:58:16 AM : root         : INFO     : sceedge13
12/04/2024 05:58:16 AM : root         : INFO     : Kroger Brooklyn - KBK
12/04/2024 05:58:16 AM : root         : INFO     : sceedge13
12/04/2024 05:58:16 AM : root         : INFO     : Kroger Manhattan - KMH
12/04/2024 05:58:16 AM : root         : INFO     : sceedge13
12/04/2024 05:58:16 AM : root         : INFO     : Kroger Queens - KQS
12/04/2024 05:58:16 AM : root         : INFO     : sceedge13
12/04/2024 05:58:16 AM : root         : INFO     : Kroger PA - KPA
12/04/2024 05:58:16 AM : root         : INFO     : sceedge13
12/04/2024 05:58:16 AM : root         : INFO     : Kroger US MidWest - USMIDWEST
